"","V1"
"622",0.996395
"623",0.997027
"624",0.980225
"625",0.968085
"626",0.920323
"627",0.978075
"628",0.98221
"629",0.998349
"630",0.997023
"631",0.961302
"632",0.974209
"633",0.995245
"634",0.995153
"635",0.987869
"636",0.979002
"637",0.982578
"638",0.985044
"639",0.978754
"640",0.951391
"641",0.884567
"642",0.997184
"643",0.935386
"644",0.987055
"645",0.996216
"646",0.977427
"647",0.975639
"648",0.973369
"649",0.938961
"650",0.994003
"651",0.993923
"652",0.982568
"653",0.998189
"654",0.91785
"655",0.898422
"656",0.924769
"657",0.991286
"658",0.983726
"659",0.950167
"660",0.917262
"661",0.992034
"662",0.808669
"663",0.878981
"664",0.999892
"665",0.927405
"666",0.994529
"667",0.899363
"668",0.98816
"669",0.998257
"670",0.914061
"671",0.958777
"672",0.993654
"673",0.999503
"674",0.995004
"675",0.953479
"676",0.996789
"677",0.993974
"678",0.96339
"679",0.987921
"680",0.985725
"681",0.995153
"682",0.99734
"683",0.971146
"684",0.96651
"685",0.990025
"686",0.951284
"687",0.991504
"688",0.984728
"689",0.986385
"690",0.920039
"691",0.991244
"692",0.988254
"693",0.994302
"694",0.780912
"695",0.987256
"696",0.962294
"697",0.993383
"698",0.984524
"699",0.990663
"700",0.975527
"701",0.941293
"702",0.998756
"703",0.994003
"704",0.943347
"705",0.967796
"706",0.976101
"707",0.999767
"708",0.992608
"709",0.995754
"710",0.973477
"711",0.996005
"712",0.968856
"713",0.944022
"714",0.996089
"715",0.995004
"716",0.992357
"717",0.9992
"718",0.985399
"719",0.983711
"720",0.978877
"721",0.951731
"722",0.99825
"723",0.779581
"724",0.985489
"725",0.995878
"726",0.949994
"727",0.96339
"728",0.94748
"729",0.995023
"730",0.980513
"731",0.996736
"732",0.974375
"733",0.980951
"734",0.994529
"735",0.93417
"736",0.996851
"737",0.993641
"738",0.839576
"739",0.981331
"740",0.992515
"741",0.928482
"742",0.967145
"743",0.99314
"744",0.977811
"745",0.974971
"746",0.987612
"747",0.970917
"748",0.965886
"749",0.99563
"750",0.855642
"751",0.997201
"752",0.977954
"753",0.982345
"754",0.946696
"755",0.920039
"756",0.999997
"757",0.990344
"758",0.966693
"759",0.976134
"760",0.998598
"761",0.964499
"762",0.992828
"763",0.996101
"764",0.981768
"765",0.951565
"766",0.994529
"767",0.893684
"768",0.993974
"769",0.991747
"770",0.983036
"771",0.955408
"772",0.992351
"773",0.987568
"774",0.965981
"775",0.998073
"776",0.922937
"777",0.949854
"778",0.950763
"779",0.996776
"780",0.968451
"781",0.975495
"782",0.995266
"783",0.982146
"784",0.997498
"785",0.977981
"786",0.974481
"787",0.958862
"788",0.995008
"789",0.958512
"790",0.972585
"791",0.979077
"792",0.990102
"793",0.975631
"794",0.969086
"795",0.995442
"796",0.998621
"797",0.963932
"798",0.95122
"799",0.974506
"800",0.962181
"801",0.977636
"802",0.99843
"803",0.997368
"804",0.851612
"805",0.997918
"806",0.977731
"807",0.960547
"808",0.962082
"809",0.980601
"810",0.987472
"811",0.982927
"812",0.984763
"813",0.996968
"814",0.989629
"815",0.958244
"816",0.984566
"817",0.998287
"818",0.910738
"819",0.949666
"820",0.94945
"821",0.973479
"822",0.983141
"823",0.991535
"824",0.998808
"825",0.971866
"826",0.97322
"827",0.993632
"828",0.977592
"829",0.980951
"830",0.982937
"831",0.978663
"832",0.994839
"833",0.963056
"834",0.988411
"835",0.989954
"836",0.985159
"837",0.988732
"838",0.987634
"839",0.976931
"840",0.982354
"841",0.980093
"842",0.973369
"843",0.987435
"844",0.977821
"845",0.987297
"846",0.812626
"847",0.982936
"848",0.92235
"849",0.983576
"850",0.977207
"851",0.994442
"852",0.960273
"853",0.994709
"854",0.973915
"855",0.966974
"856",0.944296
"857",0.993113
"858",0.991424
"859",0.980601
"860",0.993482
"861",0.974044
"862",0.99375
"863",0.966749
"864",0.982962
"865",0.979918
"866",0.995804
"867",0.930949
"868",0.975436
"869",0.914577
"870",0.965456
"871",0.994769
"872",0.99934
"873",0.976487
"874",0.988173
"875",0.99744
"876",0.990063
"877",0.999714
"878",0.999721
"879",0.977599
"880",0.996241
"881",0.997321
"882",0.993414
"883",0.93728
"884",0.98888
"885",0.976101
"886",0.982453
"887",0.87384
"888",0.999734
"889",0.975856
"890",0.9469
"891",0.983825
"892",0.97975
"893",0.97241
"894",0.903672
"895",0.973369
"896",0.871308
"897",0.998649
"898",0.963759
"899",0.996522
"900",0.985051
"901",0.928088
"902",0.929162
"903",0.985325
"904",0.996161
"905",0.979435
"906",0.964499
"907",0.755591
"908",0.972229
"909",0.902131
"910",0.97838
"911",0.973542
"912",0.967576
"913",0.989028
"914",0.915128
"915",0.970345
"916",0.991856
"917",0.976732
"918",0.979378
"919",0.891605
"920",0.894197
"921",0.983694
"922",0.994389
"923",0.932401
"924",0.97774
"925",0.975089
"926",0.960857
"927",0.948666
"928",0.972138
"929",0.994479
"930",0.831065
"931",0.948744
"932",0.965651
"933",0.999384
"934",0.973609
"935",0.980502
"936",0.989801
"937",0.992828
"938",0.999858
"939",0.995475
"940",0.946629
"941",0.911455
"942",0.998298
"943",0.99183
"944",0.987031
"945",0.989696
"946",0.992203
"947",0.997197
"948",0.991837
"949",0.90728
"950",0.970084
"951",0.99005
"952",0.999196
"953",0.977088
"954",0.969125
"955",0.976304
"956",0.986559
"957",0.979458
"958",0.930949
"959",0.993413
"960",0.894265
"961",0.9986
"962",0.995321
"963",0.966362
"964",0.97234
"965",0.973104
"966",0.982917
"967",0.998336
"968",0.987871
"969",0.982708
"970",0.982476
"971",0.923859
"972",0.94533
"973",0.99051
"974",0.832474
"975",0.902131
"976",0.991816
"977",0.982014
"978",0.966711
"979",0.967396
"980",0.987568
"981",0.963034
"982",0.976685
"983",0.99902
"984",0.919537
"985",0.974254
"986",0.967576
"987",0.984328
"988",0.989875
"989",0.72039
"990",0.998392
"991",0.995754
"992",0.995754
"993",0.994549
"994",0.981308
"995",0.949676
"996",0.999329
"997",0.991701
"998",0.93226
"999",0.766048
"1000",0.953998
