"","V1"
"661",0.333513
"662",0.410104
"663",0.763845
"664",0.494839
"665",0.599773
"666",0.232456
"667",0.790748
"668",0.547032
"669",0.888368
"670",0.331211
"671",0.406264
"672",0.819403
"673",0.733139
"674",0.239002
"675",0.5092
"676",0.99384
"677",0.909586
"678",0.930703
"679",0.516461
"680",0.175118
"681",0.525417
"682",0.560528
"683",0.754737
"684",0.607269
"685",0.321733
"686",0.239167
"687",0.375024
"688",0.454037
"689",0.841501
"690",0.408956
"691",0.367529
"692",0.920724
"693",0.75374
"694",0.292047
"695",0.93099
"696",0.383625
"697",0.527997
"698",0.461532
"699",0.516142
"700",0.625097
"701",0.599145
"702",0.697131
"703",0.684288
"704",0.544719
"705",0.279374
"706",0.313053
"707",0.876579
"708",0.72961
"709",0.224648
"710",0.294999
"711",0.208068
"712",0.740612
"713",0.291385
"714",0.641271
"715",0.239002
"716",0.662003
"717",0.511443
"718",0.79904
"719",0.594115
"720",0.625847
"721",0.178107
"722",0.778242
"723",0.403708
"724",0.744125
"725",0.381426
"726",0.398407
"727",0.930703
"728",0.808045
"729",0.311225
"730",0.324294
"731",0.494059
"732",0.254538
"733",0.461351
"734",0.232456
"735",0.35434
"736",0.729082
"737",0.943905
"738",0.585336
"739",0.486575
"740",0.423687
"741",0.197008
"742",0.474247
"743",0.248197
"744",0.28137
"745",0.315356
"746",0.228495
"747",0.594381
"748",0.362741
"749",0.566804
"750",0.874939
"751",0.16035
"752",0.265406
"753",0.527311
"754",0.561656
"755",0.408956
"756",0.472342
"757",0.766604
"758",0.61444
"759",0.499192
"760",0.545415
"761",0.457317
"762",0.313047
"763",0.419697
"764",0.922364
"765",0.18387
"766",0.232456
"767",0.804103
"768",0.909586
"769",0.928791
"770",0.289299
"771",0.780792
"772",0.676489
"773",0.572901
"774",0.893498
"775",0.206218
"776",0.381789
"777",0.282488
"778",0.445329
"779",0.883073
"780",0.656214
"781",0.309287
"782",0.71794
"783",0.763522
"784",0.176079
"785",0.635025
"786",0.337036
"787",0.286957
"788",0.742736
"789",0.178235
"790",0.286312
"791",0.291491
"792",0.366202
"793",0.45904
"794",0.451088
"795",0.545829
"796",0.435123
"797",0.434122
"798",0.46137
"799",0.418365
"800",0.767947
"801",0.510242
"802",0.182833
"803",0.506883
"804",0.864575
"805",0.519466
"806",0.573707
"807",0.412444
"808",0.61156
"809",0.164469
"810",0.927404
"811",0.87687
"812",0.21549
"813",0.88264
"814",0.459186
"815",0.233763
"816",0.387501
"817",0.331301
"818",0.412847
"819",0.228166
"820",0.57672
"821",0.402427
"822",0.489479
"823",0.228518
"824",0.39206
"825",0.456504
"826",0.308728
"827",0.300694
"828",0.782446
"829",0.461351
"830",0.431053
"831",0.597977
"832",0.419703
"833",0.742267
"834",0.814705
"835",0.553616
"836",0.399745
"837",0.5624
"838",0.360503
"839",0.614966
"840",0.272669
"841",0.945976
"842",0.306051
"843",0.301112
"844",0.387471
"845",0.323036
"846",0.144013
"847",0.420744
"848",0.444163
"849",0.834696
"850",0.248925
"851",0.688973
"852",0.421321
"853",0.158607
