"","VAR1","VAR2"
"163",0.721764,0.517985
"164",0.164165,1.03411
"165",0.94429,0.657136
"166",0.685942,0.618262
"167",0.564837,1.08143
"168",1.05304,0.98726
"169",0.721764,0.517985
"170",0.310288,0.839258
"171",0.238211,-0.00542968
"172",0.685942,0.618262
"173",0.930402,0.505636
"174",0.00480858,0.268102
"175",0.650406,-0.0125245
"176",0.739734,0.826536
"177",0.0238077,0.473618
"178",0.358574,1.08035
"179",0.564837,1.08143
"180",0.286789,0.511685
"181",0.292982,1.04867
"182",0.0600993,0.449538
"183",0.883,0.360591
"184",0.0827595,0.658777
"185",0.0238077,0.473618
"186",1.084,0.762125
"187",0.519309,0.554612
"188",-0.12659,1.02517
"189",0.243656,0.156908
"190",0.565719,0.0346676
"191",0.85266,-0.0689191
"192",0.723835,0.373205
"193",0.21997,0.617583
"194",0.960695,0.466491
"195",0.474202,0.639351
"196",1.05304,0.98726
"197",0.739734,0.826536
"198",0.269074,0.102756
"199",0.714638,0.130789
"200",-0.105423,0.437017
"201",0.00480858,0.268102
"202",0.818477,0.317289
"203",0.456569,0.679871
"204",0.220097,0.478245
"205",0.696322,0.732059
"206",0.0600993,0.449538
"207",0.249106,0.104776
"208",0.262967,0.501704
"209",0.723835,0.373205
"210",0.533584,0.276363
"211",0.474202,0.639351
"212",0.902484,-0.0244349
"213",0.777494,0.532465
"214",0.807589,0.936485
"215",0.659491,0.14618
"216",0.276847,0.516895
"217",0.696322,0.732059
"218",0.751546,0.126304
"219",0.86724,0.5982
"220",0.202385,0.363947
"221",1.05304,0.98726
"222",0.696322,0.732059
"223",0.60257,0.301382
"224",1.13165,0.456618
"225",0.358574,1.08035
"226",0.00480858,0.268102
"227",0.685942,0.618262
"228",0.659491,0.14618
"229",0.284189,1.02829
"230",0.456569,0.679871
"231",0.111736,0.0256625
"232",0.688223,0.304788
"233",0.483377,0.860109
"234",0.3901,0.309637
"235",0.238211,-0.00542968
"236",0.3901,0.309637
"237",0.276679,0.262499
"238",0.21997,0.617583
"239",0.250774,0.583786
"240",0.243656,0.156908
"241",-0.12659,1.02517
"242",0.807589,0.936485
"243",0.809566,0.380109
"244",0.474202,0.639351
"245",0.533584,0.276363
"246",0.902484,-0.0244349
"247",0.164165,1.03411
"248",0.187964,0.371655
"249",0.397949,0.758487
"250",0.164165,1.03411
"251",0.488779,1.15474
"252",0.111736,0.0256625
"253",0.533584,0.276363
"254",0.58572,0.584797
"255",0.594516,0.155161
"256",0.0827595,0.658777
"257",0.111736,0.0256625
"258",0.751546,0.126304
"259",0.447474,0.46809
"260",0.0377625,0.649432
"261",0.438648,0.819637
"262",1.05304,0.98726
"263",0.337136,0.720524
"264",0.74571,0.29278
"265",0.337136,0.720524
"266",0.3901,0.309637
"267",0.292982,1.04867
"268",0.0238077,0.473618
"269",-0.0699592,0.271192
"270",0.292982,1.04867
"271",0.412239,0.0862455
"272",0.401045,0.71779
"273",0.551076,0.835028
"274",1.05304,0.98726
"275",-0.12659,1.02517
"276",1.01632,0.201015
"277",0.389907,0.746596
"278",0.567457,0.72957
"279",0.723835,0.373205
"280",0.250774,0.583786
"281",0.550103,0.345437
"282",0.594516,0.155161
"283",0.12123,0.711698
"284",0.519309,0.554612
"285",-0.105423,0.437017
"286",0.412239,0.0862455
"287",0.751546,0.126304
"288",0.567457,0.72957
"289",0.310288,0.839258
"290",1.05304,0.98726
"291",0.551076,0.835028
"292",0.269074,0.102756
"293",1.01632,0.201015
"294",-0.0247794,0.347491
"295",0.85266,-0.0689191
"296",0.337136,0.720524
"297",0.739734,0.826536
"298",0.187964,0.371655
"299",0.220097,0.478245
"300",0.646679,0.709798
"301",0.57978,0.719531
"302",0.401045,0.71779
