"","VAR1","VAR2"
"185",0.098999,0.26302
"186",0.893461,0.840645
"187",0.718508,0.624848
"188",0.159192,0.827396
"189",0.279748,0.234417
"190",0.750976,0.270966
"191",0.884712,0.12311
"192",0.619243,0.561106
"193",0.311313,0.440514
"194",0.690928,0.431681
"195",0.385395,0.344133
"196",0.847902,0.731103
"197",0.578316,0.77559
"198",0.550006,0.154787
"199",0.584093,0.209198
"200",0.127847,0.542534
"201",0.207051,0.546214
"202",0.607317,0.595503
"203",0.717506,0.778964
"204",0.242101,0.286376
"205",0.698998,0.718887
"206",0.229341,0.668831
"207",0.450717,0.347379
"208",0.434662,0.222103
"209",0.619243,0.561106
"210",0.250407,0.282786
"211",0.385395,0.344133
"212",0.80956,0.176407
"213",0.855563,0.412249
"214",0.898515,0.751825
"215",0.489687,0.250396
"216",0.342391,0.615156
"217",0.698998,0.718887
"218",0.558577,0.278676
"219",0.642733,0.762757
"220",0.274764,0.130461
"221",0.847902,0.731103
"222",0.698998,0.718887
"223",0.887307,0.445544
"224",0.858906,0.284834
"225",0.596334,0.851051
"226",0.207051,0.546214
"227",0.563885,0.739051
"228",0.489687,0.250396
"229",0.567348,0.836923
"230",0.717506,0.778964
"231",0.0911095,0.227116
"232",0.870371,0.577144
"233",0.450753,0.758251
"234",0.252821,0.388922
"235",0.0959974,0.0977378
"236",0.252821,0.388922
"237",0.390054,0.49515
"238",0.311313,0.440514
"239",0.414177,0.79112
"240",0.279748,0.234417
"241",0.159192,0.827396
"242",0.898515,0.751825
"243",0.698771,0.537618
"244",0.385395,0.344133
"245",0.250407,0.282786
"246",0.80956,0.176407
"247",0.244032,0.847259
"248",0.355242,0.132961
"249",0.220078,0.625845
"250",0.244032,0.847259
"251",0.40115,0.908572
"252",0.0911095,0.227116
"253",0.250407,0.282786
"254",0.736538,0.300506
"255",0.380664,0.196563
"256",0.343255,0.706885
"257",0.0911095,0.227116
"258",0.558577,0.278676
"259",0.282134,0.504011
"260",0.203066,0.788763
"261",0.306389,0.885537
