"","x","y"
"102",5.88317,9.20313
"103",6.78342,0.683196
"104",7.69729,2.07446
"105",7.49971,5.79395
"106",2.7691,6.79175
"107",0.784143,5.70499
"108",7.27859,4.61872
"109",8.81557,1.95858
"110",4.61949,8.64201
"111",4.17902,8.87444
"112",7.45653,9.57911
"113",8.83535,5.46124
"114",1.70485,4.54101
"115",5.66093,11.1262
"116",0.750312,3.10956
"117",9.23901,10.8318
"118",2.01543,2.91905
"119",10.2661,2.37734
"120",2.06693,1.94121
"121",2.01175,3.16998
"122",9.97697,0.637637
"123",6.64091,0.636589
"124",1.14109,2.61578
"125",6.29249,4.32541
"126",6.3313,4.49138
"127",3.46802,10.3147
"128",1.38272,8.05517
"129",4.97684,6.55525
"130",10.323,7.92747
"131",9.93327,3.24679
"132",10.3477,1.23601
"133",1.92653,2.11919
"134",10.2713,9.19619
"135",6.41423,3.13335
"136",11.2895,4.53422
"137",5.35942,6.7403
"138",10.8774,9.43829
"139",1.94238,6.19339
"140",1.0262,5.64191
"141",5.09364,10.0076
"142",2.9172,3.41517
"143",9.06101,2.58672
"144",3.43843,10.1392
"145",11.2956,3.1716
"146",6.71972,4.19439
"147",4.21098,6.58425
"148",0.716456,4.92246
"149",6.65992,2.28993
"150",0.578612,0.937107
"151",1.8494,3.09123
"152",0.67251,7.99456
"153",5.45554,8.81212
"154",5.58016,10.0271
"155",1.92018,9.028
"156",0.660612,4.54215
"157",1.75996,9.12778
"158",7.61742,7.80754
"159",2.95369,4.70477
"160",2.05566,11.0059
"161",7.77546,1.09929
"162",7.51883,4.83606
"163",9.46358,4.42198
"164",1.93199,0.772357
"165",10.265,6.74642
"166",6.3186,2.97647
"167",10.1227,2.36489
"168",11.2412,3.00011
"169",9.57774,4.78593
"170",0.91729,3.30701
"171",1.48294,10.8713
"172",6.06136,2.8261
"173",8.99829,7.24715
"174",1.88263,5.09911
"175",5.78318,11.1204
"176",6.72736,1.90696
"177",0.678422,8.69965
"178",7.63037,0.550696
"179",10.0102,2.05991
"180",3.4368,4.76046
"181",5.71867,1.26572
"182",1.78962,3.00838
"183",8.02977,8.95563
"184",4.17224,3.3842
"185",1.18181,8.54109
"186",11.2663,0.804868
"187",8.645,4.2301
"188",1.33989,2.29294
"189",3.20596,9.51059
"190",9.34664,9.05818
"191",11.328,10.7955
"192",8.00559,5.5607
"193",3.11253,6.96224
"194",8.67096,6.43682
"195",3.94615,7.70702
"196",10.6341,3.10784
"197",6.52915,2.02073
"198",6.81265,11.4123
"199",7.48772,9.64771
"200",0.767883,5.0131
"201",1.86017,5.18997
"202",8.14797,4.77556
"203",8.662,2.10399
"204",1.9888,9.12604
"205",8.92507,2.91555
"206",2.20089,3.13826
"207",5.0991,7.48355
"208",5.13696,9.96335
"209",7.32798,5.8947
"210",3.20317,8.99101
"211",4.17268,7.25465
"212",9.85636,10.1744
"213",11.3838,8.03732
"214",11.3334,2.08756
"215",5.63459,8.89806
"216",3.88567,4.49436
"217",8.23801,3.17532
"218",6.94321,8.71698
"219",7.37705,2.33786
"220",3.17198,11.1075
"221",11.3026,3.0956
"222",8.93803,3.09999
"223",11.0713,6.53308
"224",10.9624,9.27229
"225",7.99036,0.88299
"226",2.64882,5.89805
"227",6.481,2.96251
"228",5.45824,9.13233
"229",6.80195,0.845463
"230",8.22732,1.99298
"231",0.98215,9.69874
"232",11.2479,5.64987
"233",5.48115,2.40654
"234",3.75335,7.53449
"235",1.01659,10.4407
"236",2.98717,7.95016
"237",4.34762,6.08598
"238",2.96361,6.57481
"239",4.69098,2.07373
"240",3.5096,9.88805
"241",0.873347,2.22674
"242",10.9735,1.85771
"243",8.38469,5.40228
